ip_range,ip_count
101.126.64.0/24,2
20.123.146.0/24,8
124.152.76.0/24,6
120.48.135.0/24,3
172.190.89.0/24,2
62.171.128.0/24,2
171.211.125.0/24,2
103.76.120.0/24,29
142.93.208.0/24,7
101.47.161.0/24,40
37.112.48.0/24,1
103.52.114.0/24,4
164.92.219.0/24,7
61.85.201.0/24,2
27.150.188.0/24,3
20.26.135.0/24,2
139.59.29.0/24,3
178.128.227.0/24,2
45.183.218.0/24,1
138.2.57.0/24,1
35.188.112.0/24,1
170.64.212.0/24,5
156.227.232.0/24,11
134.209.211.0/24,2
193.46.255.0/24,26
179.36.102.0/24,2
209.38.88.0/24,7
134.199.150.0/24,4
156.238.230.0/24,1
113.125.165.0/24,3
117.50.199.0/24,2
209.38.31.0/24,8
139.59.112.0/24,2
103.98.152.0/24,2
139.59.59.0/24,8
115.190.74.0/24,3
118.193.34.0/24,4
27.79.45.0/24,9
165.227.3.0/24,2
195.158.4.0/24,2
106.58.166.0/24,2
61.216.105.0/24,2
135.237.122.0/24,6
51.79.67.0/24,2
165.154.36.0/24,28
165.245.138.0/24,2
76.79.213.0/24,4
116.110.211.0/24,3
209.38.23.0/24,7
165.22.125.0/24,4
89.47.53.0/24,2
64.227.164.0/24,1
139.59.239.0/24,1
46.101.83.0/24,3
69.164.210.0/24,13
104.131.233.0/24,1
8.245.17.0/24,2
189.152.44.0/24,1
202.165.16.0/24,5
152.42.135.0/24,2
103.250.11.0/24,16
64.227.131.0/24,6
82.22.21.0/24,2
178.128.243.0/24,2
172.236.189.0/24,6
159.65.77.0/24,3
185.196.9.0/24,7
170.64.230.0/24,8
175.100.24.0/24,2
104.248.164.0/24,3
103.215.80.0/24,3
172.185.24.0/24,2
117.187.180.0/24,8
220.76.68.0/24,2
35.222.117.0/24,2
165.227.83.0/24,2
107.150.119.0/24,6
92.118.39.0/24,76
184.189.6.0/24,2
103.114.146.0/24,2
14.224.227.0/24,2
202.188.47.0/24,2
45.158.59.0/24,2
95.114.83.0/24,2
187.16.96.0/24,2
69.74.29.0/24,3
64.227.13.0/24,2
144.31.186.0/24,3
171.231.194.0/24,11
134.199.148.0/24,7
202.65.133.0/24,2
103.67.78.0/24,23
152.32.171.0/24,8
119.84.148.0/24,2
165.154.227.0/24,12
161.35.173.0/24,3
64.227.157.0/24,8
14.103.114.0/24,20
152.32.144.0/24,3
157.245.194.0/24,1
103.217.144.0/24,7
114.35.59.0/24,2
159.65.24.0/24,1
220.80.223.0/24,2
171.231.192.0/24,16
45.55.82.0/24,2
152.42.206.0/24,1
150.5.169.0/24,4
165.22.223.0/24,6
103.158.206.0/24,2
165.154.205.0/24,3
123.58.210.0/24,3
164.92.177.0/24,2
118.194.234.0/24,5
165.232.151.0/24,2
158.174.210.0/24,3
189.244.46.0/24,1
210.209.70.0/24,2
163.227.230.0/24,2
103.23.199.0/24,4
101.36.108.0/24,14
101.126.142.0/24,1
14.18.122.0/24,2
178.128.46.0/24,2
179.51.153.0/24,3
172.104.215.0/24,7
81.29.142.0/24,4
167.99.68.0/24,1
129.212.238.0/24,1
134.199.162.0/24,11
102.208.34.0/24,1
181.116.220.0/24,3
182.180.57.0/24,2
101.47.8.0/24,3
